web-1  | 192.168.65.1 - - [30/Mar/2026:21:36:26 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50304 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:36:41 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50260 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:36:56 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50478 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:37:11 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50441 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:37:26 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50356 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:37:41 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50550 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:37:57 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57454 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:38:12 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50353 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:38:27 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50403 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:38:42 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50437 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:38:57 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50421 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:39:12 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50578 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:39:27 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50623 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:39:42 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50468 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:39:57 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50527 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:40:12 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50528 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:40:27 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 43348 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:40:43 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50433 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:40:58 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50512 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:41:13 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50342 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:41:28 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50407 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:41:43 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50427 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:41:58 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50346 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:42:13 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50546 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:42:28 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50381 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:42:43 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50271 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:42:58 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57498 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:43:14 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57371 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:43:29 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50364 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:43:44 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50542 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:43:59 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50241 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:44:14 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50359 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:44:29 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50610 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:44:44 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50640 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:44:59 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50571 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:45:14 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50517 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:45:29 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50579 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:45:44 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57641 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:46:00 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50377 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:46:15 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50369 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:46:30 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50244 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:46:45 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50333 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:47:00 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50312 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:47:15 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50205 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:47:30 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50315 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:47:45 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50438 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:48:00 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50390 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:48:15 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50308 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:48:30 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 57508 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:48:45 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50319 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:49:01 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50214 "-" "curl/8.7.1"
web-1  | 192.168.65.1 - - [30/Mar/2026:21:49:16 +0000] "GET /api_stream?id_patient=8 HTTP/1.1" 200 50346 "-" "curl/8.7.1"
